# t (s)	mx ()	my ()	mz ()	MaxAngle (rad)	phi (degree)	f_RF (GHz)
0	1	0	0	0	0	4e+09
5.141436545303758e-12	0.9999886	9.181608e-06	-2.937414e-05	0.009710576	0	4e+09
1.0092848167237877e-11	0.9999504	6.0378712e-05	-0.00011090744	0.014737817	0	4e+09
1.501565483218147e-11	0.9998688	0.00018666266	-0.00023943216	0.018305918	0	4e+09
2.014032507137705e-11	0.9997117	0.00043046486	-0.0004175305	0.021606522	0	4e+09
2.5128829652992636e-11	0.99945813	0.00080518116	-0.00062717195	0.023963694	0	4e+09
3.01208818386266e-11	0.9990737	0.0013374771	-0.00086457055	0.02782436	0	4e+09
3.512068652138515e-11	0.99852645	0.00204355	-0.0011208542	0.029784257	0	4e+09
4.011696899101545e-11	0.99778444	0.0029302856	-0.0013854712	0.029860217	0	4e+09
4.506029591697034e-11	0.99682623	0.0039865933	-0.0016452201	0.030562682	0	4e+09
5.0161692600043723e-11	0.99557257	0.005255949	-0.0018997126	0.031375017	0	4e+09
5.5091016603977775e-11	0.9940849	0.00664046	-0.0021214217	0.030179929	0	4e+09
6.001604179590542e-11	0.9923216	0.008156589	-0.0023085	0.034436785	0	4e+09
6.508425746031247e-11	0.99023485	0.009825051	-0.0024546473	0.036968254	0	4e+09
7.014202370107843e-11	0.9879213	0.011562351	-0.0025442156	0.037781775	0	4e+09
7.50584035633646e-11	0.9855192	0.013280138	-0.002570103	0.039415956	0	4e+09
8.01432652605816e-11	0.98296905	0.0150420545	-0.0025280265	0.040907886	0	4e+09
8.503192613231897e-11	0.9805567	0.016677752	-0.0024186738	0.040249653	0	4e+09
9.005983383857323e-11	0.9782253	0.018254694	-0.002235071	0.037303783	0	4e+09
9.507935443111176e-11	0.9761533	0.019676978	-0.0019813264	0.03362924	0	4e+09
1.0011007329545549e-10	0.9744232	0.020905504	-0.0016598922	0.030164123	0	4e+09
1.0515684159746905e-10	0.9731051	0.021897312	-0.0012751932	0.02977625	0	4e+09
1.1004491955312763e-10	0.97226757	0.022590803	-0.000849585	0.029792262	0	4e+09
1.1510153789470588e-10	0.97187185	0.022996657	-0.00036234205	0.029504735	0	4e+09
1.2015156095047123e-10	0.97194487	0.02305507	0.0001627907	0.029452154	0	4e+09
1.2502718532539874e-10	0.9724291	0.022758724	0.00069681206	0.029567303	0	4e+09
1.3006952583791556e-10	0.9733087	0.022069465	0.0012664982	0.029470367	0	4e+09
1.3511517074809624e-10	0.9745114	0.020978764	0.0018430261	0.02911627	0	4e+09
1.4016478284350682e-10	0.97596586	0.019481981	0.0024147255	0.02854977	0	4e+09
1.4504815566122337e-10	0.97753966	0.01765344	0.0029513368	0.027841495	0	4e+09
1.5009995114867456e-10	0.9792671	0.015380837	0.003478001	0.02699796	0	4e+09
1.5515033964453174e-10	0.98102474	0.012743948	0.003963988	0.026179636	0	4e+09
1.6003121333373792e-10	0.98269206	0.009878433	0.004384512	0.025513094	0	4e+09
1.6508018761340716e-10	0.9843304	0.0066252206	0.0047582756	0.024783013	0	4e+09
1.7013005470014718e-10	0.9858362	0.0031252005	0.0050600283	0.024053078	0	4e+09
1.75012863950403e-10	0.9871333	-0.00044083528	0.005274904	0.023348851	0	4e+09
1.8006466395859049e-10	0.98828745	-0.0042578615	0.0054101837	0.022701629	0	4e+09
1.8511562991251143e-10	0.9892372	-0.00813704	0.005450749	0.022389641	0	4e+09
1.9016512261670674e-10	0.98997825	-0.012006092	0.005391961	0.02219175	0	4e+09
1.950450368214993e-10	0.9905004	-0.015666738	0.005237969	0.02204352	0	4e+09
2.000918130076966e-10	0.9908508	-0.019297993	0.004977134	0.0219975	0	4e+09
2.0513749179278704e-10	0.99102426	-0.022697069	0.004613886	0.022105629	0	4e+09
2.1001419636244413e-10	0.9910423	-0.025693623	0.0041680257	0.022298936	0	4e+09
2.1505840367919127e-10	0.9909271	-0.028426621	0.0036134562	0.022567315	0	4e+09
2.2010191640658645e-10	0.9906968	-0.030722348	0.0029706596	0.022806417	0	4e+09
2.251451382235296e-10	0.99037147	-0.032522168	0.0022482465	0.023050798	0	4e+09
2.3001995791430415e-10	0.9899828	-0.03374218	0.0014840642	0.0233463	0	4e+09
2.350624550558954e-10	0.9895172	-0.034424618	0.0006372209	0.02364819	0	4e+09
2.401043218223906e-10	0.9889966	-0.03448441	-0.00025337434	0.023801457	0	4e+09
2.4514564060547175e-10	0.98842627	-0.033898428	-0.0011728042	0.023888951	0	4e+09
2.5001835196592405e-10	0.9878291	-0.032706883	-0.0020739387	0.023988556	0	4e+09
2.550587875825784e-10	0.98716277	-0.030827353	-0.0030026	0.024169277	0	4e+09
2.6009906666934977e-10	0.986444	-0.028301781	-0.003910467	0.024314359	0	4e+09
