t	mx	my	mz	MaxAngle	phi	f_RF
0.0	1.0	0.0	0.0	0.0	0	3000000000.0
5.141427145651223e-12	0.9999886	6.888955e-06	-2.2043749e-05	0.009710576	0	3000000000.0
1.0092824184131005e-11	0.9999504	4.535349e-05	-8.337782e-05	0.014733772	0	3000000000.0
1.5015636103565596e-11	0.9998688	0.0001404669	-0.00018053013	0.018302662	0	3000000000.0
2.0140338969377592e-11	0.9997118	0.000324789	-0.0003161923	0.021603763	0	3000000000.0
2.5128791129802928e-11	0.99945825	0.00060952926	-0.00047761298	0.023966182	0	3000000000.0
3.012089347918631e-11	0.99907434	0.0010166303	-0.0006630366	0.027815789	0	3000000000.0
3.512073381875494e-11	0.9985276	0.0015609342	-0.000866973	0.029778251	0	3000000000.0
4.011708201380592e-11	0.9977866	0.0022510826	-0.0010826889	0.02985223	0	3000000000.0
4.506061969211037e-11	0.99682987	0.0030825795	-0.0013011805	0.030554878	0	3000000000.0
5.016183066087809e-11	0.9955789	0.004095284	-0.0015244762	0.031354114	0	3000000000.0
5.509114385381968e-11	0.9940942	0.005217524	-0.0017307366	0.030156216	0	3000000000.0
6.001621952081951e-11	0.9923352	0.006469168	-0.0019201374	0.034410805	0	3000000000.0
6.508430141865197e-11	0.99025357	0.007877013	-0.0020902005	0.036931142	0	3000000000.0
7.014195401484393e-11	0.98794585	0.009382075	-0.0022278077	0.037735987	0	3000000000.0
7.505853764482852e-11	0.98554933	0.010917292	-0.0023250456	0.03937358	0	3000000000.0
8.014361937759515e-11	0.98300487	0.012552533	-0.0023829585	0.040864136	0	3000000000.0
8.503225191230452e-11	0.9805969	0.014142353	-0.0023945302	0.04019777	0	3000000000.0
9.005997178934801e-11	0.97826856	0.015765972	-0.0023593977	0.037244603	0	3000000000.0
9.507942915983935e-11	0.9761969	0.017345043	-0.0022761007	0.03359909	0	3000000000.0
1.0011029322114027e-10	0.9744639	0.018854927	-0.0021447793	0.030128527	0	3000000000.0
1.0515700403648256e-10	0.9731386	0.020265628	-0.0019664713	0.029730167	0	3000000000.0
1.1004516191091187e-10	0.9722899	0.021504259	-0.0017515817	0.029770242	0	3000000000.0
1.1510176518614786e-10	0.97187823	0.022624759	-0.0014887222	0.029512815	0	3000000000.0
1.201518313291127e-10	0.97193074	0.023553176	-0.0011888441	0.02944001	0	3000000000.0
1.250275827556062e-10	0.97239155	0.024244715	-0.00086803775	0.029595517	0	3000000000.0
1.3007008565736616e-10	0.97324437	0.024725886	-0.00050869054	0.029530989	0	3000000000.0
1.3511549116761707e-10	0.9744188	0.024949472	-0.00012632959	0.02921438	0	3000000000.0
1.4016500820871399e-10	0.9758458	0.024898581	0.0002735197	0.02868517	0	3000000000.0
1.4504844674683615e-10	0.97739583	0.024576275	0.0006709693	0.028016519	0	3000000000.0
1.501001025764066e-10	0.9791041	0.023952393	0.0010872453	0.027211295	0	3000000000.0
1.5515034845751654e-10	0.9808503	0.02302995	0.0015024078	0.026358908	0	3000000000.0
1.6003143912637627e-10	0.9825164	0.02185575	0.0018967576	0.025506085	0	3000000000.0
1.6508072180534388e-10	0.9841653	0.020354806	0.0022914077	0.024601953	0	3000000000.0
1.701307551709013e-10	0.9856953	0.01857355	0.0026664485	0.023711123	0	3000000000.0
1.75013524469058e-10	0.9870291	0.01660011	0.003004681	0.023040453	0	3000000000.0
1.800651735224805e-10	0.98823476	0.014318828	0.003323748	0.022727871	0	3000000000.0
1.8511614419059167e-10	0.9892482	0.011819351	0.0036060032	0.0224561	0	3000000000.0
1.9016577948301108e-10	0.9900632	0.009131638	0.003846409	0.02222396	0	3000000000.0
1.9504559209966268e-10	0.99066275	0.0063860253	0.0040347963	0.022040816	0	3000000000.0
2.000923133879551e-10	0.9910953	0.0034284662	0.0041803694	0.021978522	0	3000000000.0
2.0513800614863495e-10	0.99134797	0.00038992535	0.00427258	0.02205163	0	3000000000.0
2.1001475947161604e-10	0.9914348	-0.0025860753	0.0043085804	0.022213228	0	3000000000.0
2.1505870290862667e-10	0.9913771	-0.0056636846	0.0042890785	0.022384316	0	3000000000.0
2.201023047908601e-10	0.9911854	-0.008698304	0.004210842	0.022593714	0	3000000000.0
2.2514559462913038e-10	0.99087536	-0.011647003	0.0040736324	0.02277503	0	3000000000.0
2.3002056244350576e-10	0.9904763	-0.014375873	0.0038854827	0.023086974	0	3000000000.0
2.35062859610107e-10	0.98997223	-0.017032538	0.003634814	0.023412589	0	3000000000.0
2.401047888206304e-10	0.9893846	-0.01948097	0.003329348	0.023635581	0	3000000000.0
2.4514601854693667e-10	0.98872095	-0.02168339	0.0029721279	0.023751313	0	3000000000.0
2.500187891024524e-10	0.9880121	-0.023545869	0.0025811726	0.023843993	0	3000000000.0
2.550593268601058e-10	0.98721397	-0.025166128	0.002133917	0.024102593	0	3000000000.0
2.600995131484096e-10	0.9863543	-0.02644716	0.0016483186	0.024307001	0	3000000000.0
2.6513967120500844e-10	0.9854377	-0.027365487	0.0011302808	0.02428001	0	3000000000.0
2.7001183206486616e-10	0.9845039	-0.027890751	0.00060485146	0.024213633	0	3000000000.0
2.750518923543289e-10	0.98349607	-0.02804598	4.2771462e-05	0.024048122	0	3000000000.0
2.8009162648098977e-10	0.9824565	-0.027798666	-0.0005305366	0.02390392	0	3000000000.0
2.8513105478302383e-10	0.9813989	-0.027146783	-0.0011069778	0.023751313	0	3000000000.0
2.900026763093162e-10	0.98037463	-0.026135726	-0.0016593465	0.02368597	0	3000000000.0
2.950424669267793e-10	0.97933203	-0.024705354	-0.0022174343	0.023688486	0	3000000000.0
3.000818973207771e-10	0.97832745	-0.022899726	-0.0027534992	0.023701064	0	3000000000.0
3.0512143558219004e-10	0.9773827	-0.020739827	-0.0032593186	0.023931336	0	3000000000.0
3.1016106185625886e-10	0.97651875	-0.018251771	-0.0037270484	0.024186537	0	3000000000.0
3.1503253123539796e-10	0.9757789	-0.015563521	-0.0041361772	0.024370681	0	3000000000.0
3.2007196222111127e-10	0.975128	-0.012522955	-0.004508705	0.024565581	0	3000000000.0
3.2511118441409043e-10	0.9746064	-0.009255515	-0.004824266	0.024652783	0	3000000000.0
3.3015066766493073e-10	0.9742226	-0.005800858	-0.005078519	0.024614066	0	3000000000.0
3.350222567404097e-10	0.9739863	-0.0023228547	-0.0052629868	0.024517002	0	3000000000.0
3.400617711840626e-10	0.9738804	0.0013762108	-0.005388414	0.024563156	0	3000000000.0
3.4510142609386743e-10	0.9739096	0.0051347367	-0.0054464983	0.02496992	0	3000000000.0
