,# t (s),mx (),my (),mz (),MaxAngle (rad),phi (degree),f_RF (GHz)
259201,1.29600582665529e-06,-0.5433117,-0.83234435,-0.0042281137,0.10108068,240,3000000000.0
259202,1.2960102378390576e-06,-0.54051816,-0.834152,-0.0059699267,0.100928165,240,3000000000.0
259203,1.2960161122292498e-06,-0.5354542,-0.8373914000000001,-0.008030797,0.10086722,240,3000000000.0
259204,1.2960205168886134e-06,-0.53075826,-0.8403554,-0.009362568,0.10094059,240,3000000000.0
259205,1.2960263856978442e-06,-0.5234802,-0.84487575,-0.010828613,0.10119756,240,3000000000.0
259206,1.2960307853211974e-06,-0.5173895000000001,-0.8485912,-0.01168392,0.10154507,240,3000000000.0
259207,1.2960351833287115e-06,-0.5108768,-0.8524974,-0.012322762,0.10205183,240,3000000000.0
259208,1.2960410467875092e-06,-0.5017295,-0.85786927,-0.012833,0.10296226,240,3000000000.0
259209,1.296045441793888e-06,-0.4946753,-0.8619220999999999,-0.0129600195,0.103805505,240,3000000000.0
259210,1.2960512981047556e-06,-0.48523548,-0.86722547,-0.012796833999999998,0.10513841,240,3000000000.0
259211,1.2960556907789948e-06,-0.47827557,-0.87104946,-0.012435057,0.10629469999999999,240,3000000000.0
259212,1.2960600831813816e-06,-0.47154498,-0.8746792,-0.011880171,0.10757578,240,3000000000.0
259213,1.2960659389533077e-06,-0.46311304,-0.8791343,-0.010864318000000001,0.10941813,240,3000000000.0
259214,1.2960703308931824e-06,-0.45732293,-0.882136,-0.009916958,0.11083686,240,3000000000.0
259215,1.2960761880115222e-06,-0.45048138,-0.88562584,-0.008442612,0.11267487,240,3000000000.0
259216,1.2960805790704409e-06,-0.44610974,-0.8878259000000001,-0.0072065913,0.11394637,240,3000000000.0
259217,1.2960864328566591e-06,-0.4414066,-0.8901723,-0.005427704,0.11541992400000001,240,3000000000.0
259218,1.296090823399905e-06,-0.43878043,-0.8914785,-0.004025813,0.11630879,240,3000000000.0
259219,1.2960952137717595e-06,-0.43695920000000005,-0.89239025,-0.0025928156,0.11696746,240,3000000000.0
259220,1.2961010669683948e-06,-0.43580317,-0.89299244,-0.0006756533,0.11740538,240,3000000000.0
259221,1.296105457637334e-06,-0.43588459999999996,-0.89299023,0.00073675835,0.11737687,240,3000000000.0
259222,1.2961113133023129e-06,-0.4372183,-0.89239955,0.0025428422,0.11688418,240,3000000000.0
259223,1.2961157032833506e-06,-0.4390887,-0.89153415,0.0038110008,0.11622042,240,3000000000.0
259224,1.2961200932778e-06,-0.44164884,-0.8903268,0.0049837283,0.11534226,240,3000000000.0
259225,1.2961259453321836e-06,-0.44602415,-0.88822454,0.0063684112,0.11389498,240,3000000000.0
259226,1.2961303348091141e-06,-0.44993207,-0.8863133,0.0072534257,0.11265843,240,3000000000.0
259227,1.296136186577752e-06,-0.45581877,-0.8833808000000001,0.008205009000000001,0.11093867,240,3000000000.0
259228,1.2961405755554606e-06,-0.46062553,-0.8809402,0.008735395,0.10969615,240,3000000000.0
259229,1.2961464291470006e-06,-0.46737987,-0.87744164,0.009186423,0.108237155,240,3000000000.0
259230,1.2961508178893257e-06,-0.47257754,-0.8746947,0.009328548,0.10736517599999999,240,3000000000.0
259231,1.2961552062849899e-06,-0.47778339999999997,-0.87189555,0.00930276,0.10670850400000001,240,3000000000.0
