,# t (s),mx (),my (),mz (),MaxAngle (rad),phi (degree),f_RF (GHz)
16201,8.100644803531557e-08,0.96705073,0.21630655,-8.497379999999999e-05,0.073850654,15,3000000000.0
16202,8.101088037114785e-08,0.9668437,0.21711454,-0.0022062622,0.07371077,15,3000000000.0
16203,8.101530583752513e-08,0.96636856,0.21919529,-0.0042608590000000005,0.07356169,15,3000000000.0
16204,8.102119710147442e-08,0.9653241,0.22386168,-0.0068570435999999995,0.07336273,15,3000000000.0
16205,8.102561075637479e-08,0.9642351,0.22869499999999998,-0.008667987,0.07321947,15,3000000000.0
16206,8.103002043178155e-08,0.96288574,0.23457941,-0.010337815,0.07308246,15,3000000000.0
16207,8.103589430211191e-08,0.9606859000000001,0.24388991,-0.012309907,0.07290592,15,3000000000.0
16208,8.104029755846523e-08,0.958741,0.25182983,-0.013575296,0.07277898,15,3000000000.0
16209,8.10461671113734e-08,0.9557703000000002,0.2634608,-0.014948264,0.07262061,15,3000000000.0
16210,8.105056599014419e-08,0.95327926,0.27279037,-0.015725778,0.072521135,15,3000000000.0
16211,8.105642893127802e-08,0.94964653,0.2857768,-0.016409816,0.07239929,15,3000000000.0
16212,8.106082475960897e-08,0.94672537,0.29574174,-0.016651692,0.07231437,15,3000000000.0
16213,8.106521945411521e-08,0.94367504,0.3057399,-0.0166594,0.07223843,15,3000000000.0
16214,8.107107683898887e-08,0.9394815000000001,0.31887695,-0.016309517,0.07214505,15,3000000000.0
16215,8.107546979344873e-08,0.93630314,0.32841074,-0.015784523,0.07208549,15,3000000000.0
16216,8.1081327463966e-08,0.9321210999999999,0.34045315,-0.01475244,0.072012626,15,3000000000.0
16217,8.108571898148471e-08,0.9291007,0.34882486,-0.013746699,0.071963735,15,3000000000.0
16218,8.109011021518038e-08,0.9262413,0.3565139,-0.012560068,0.07192144,15,3000000000.0
16219,8.109596512542442e-08,0.9227741,0.36554196,-0.010729115,0.07189324,15,3000000000.0
16220,8.110035640753088e-08,0.9204986999999999,0.37129113,-0.009196726,0.0718924,15,3000000000.0
16221,8.110620966462304e-08,0.9179843000000001,0.37746888,-0.006986071999999999,0.07189655,15,3000000000.0
16222,8.111060088370367e-08,0.9165344999999999,0.3809259,-0.0052334303,0.07190319,15,3000000000.0
16223,8.111645636322768e-08,0.9152347,0.383903,-0.0028193859999999997,0.071919784,15,3000000000.0
16224,8.112084699300133e-08,0.91475576,0.38488987,-0.0009852097,0.07193389,15,3000000000.0
16225,8.112523729200207e-08,0.91470736,0.38480785,0.00084069883,0.07425989999999999,15,3000000000.0
16226,8.113109145946255e-08,0.9153021000000001,0.38306016,0.0032191307,0.079875745,15,3000000000.0
16227,8.113548151164618e-08,0.91622144,0.38055748,0.004929087,0.082989246,15,3000000000.0
16228,8.114133321060548e-08,0.91802686,0.37571454,0.0070670918000000004,0.09225456,15,3000000000.0
16229,8.114572308203646e-08,0.9197708,0.37102422,0.008538085,0.09854025,15,3000000000.0
16230,8.115011392216315e-08,0.9218028,0.36550274,0.009874688000000001,0.103895776,15,3000000000.0
16231,8.115596877965556e-08,0.92487943,0.35698795,0.011419546000000001,0.10907481,15,3000000000.0
16232,8.116035937714409e-08,0.9273973,0.34985593,0.012382593,0.11545976,15,3000000000.0
16233,8.116621341155492e-08,0.93093896,0.33954048,0.013386278,0.12704372,15,3000000000.0
16234,8.117060386878206e-08,0.9336696,0.33133793,0.013919388000000001,0.13469705,15,3000000000.0
16235,8.117645647537862e-08,0.9373195,0.31999615,0.014329711,0.14286672,15,3000000000.0
16236,8.118084686294228e-08,0.9400099000000001,0.31133187,0.014411263999999998,0.14710689,15,3000000000.0
16237,8.1185237770728e-08,0.9426180000000001,0.3026621,0.014301303000000001,0.149533,15,3000000000.0
16238,8.119109353744088e-08,0.9459134,0.2912923,0.01386577,0.14988427,15,3000000000.0
16239,8.119548468308557e-08,0.94821393,0.28305549999999996,0.013332884,0.14811075,15,3000000000.0
16240,8.120134001010501e-08,0.95101804,0.27265972,0.012367497,0.14345494,15,3000000000.0
16241,8.120573082033634e-08,0.9529053,0.26543203,0.011469392,0.13866470000000003,15,3000000000.0
16242,8.121012156478599e-08,0.95459825,0.25879046,0.010438655,0.1331404,15,3000000000.0
16243,8.121597408160662e-08,0.95654494,0.25098372,0.008887364,0.12517658,15,3000000000.0
16244,8.122036465001035e-08,0.95777106,0.24599764,0.007613795,0.11906577,15,3000000000.0
16245,8.122621923618049e-08,0.95909536,0.24061036,0.005805218000000001,0.11102423,15,3000000000.0
16246,8.123060985957134e-08,0.9598583,0.23756596,0.0043915436,0.105181,15,3000000000.0
16247,8.123500033428237e-08,0.9604271000000001,0.23540254,0.0029508121999999998,0.09952531,15,3000000000.0
16248,8.12408550228714e-08,0.96088845,0.23390527,0.001021532,0.09221184,15,3000000000.0
16249,8.124524561781576e-08,0.9610148999999999,0.23381820000000003,-0.000406322,0.086819164,15,3000000000.0
16250,8.125109777409008e-08,0.96089536,0.23504834,-0.0022490402,0.079598874,15,3000000000.0
16251,8.125548790280059e-08,0.96059215,0.23694020000000002,-0.0035634888,0.07406281,15,3000000000.0
16252,8.126134173797181e-08,0.9599074000000001,0.24067159,-0.005195160999999999,0.074020915,15,3000000000.0
16253,8.126573127773986e-08,0.95918727,0.24430434,-0.006309295,0.074063614,15,3000000000.0
16254,8.127012079846032e-08,0.95829475,0.24858066,-0.007315616,0.07409985,15,3000000000.0
16255,8.127597473612675e-08,0.95684564,0.25515887,-0.008471553,0.07414331,15,3000000000.0
16256,8.128036467164615e-08,0.9555759,0.26064533,-0.009187699,0.07416745,15,3000000000.0
16257,8.128621661538857e-08,0.95365995,0.2685361,-0.009929519,0.074191585,15,3000000000.0
16258,8.129060677571986e-08,0.95207393,0.27477490000000004,-0.010321252,0.074204445,15,3000000000.0
16259,8.1296460833397e-08,0.9497938,0.28335023,-0.010620827,0.07421249,15,3000000000.0
16260,8.130085099020087e-08,0.94798744,0.2898585,-0.010679412,0.07421169,15,3000000000.0
16261,8.130524092194523e-08,0.9461246999999999,0.29633632,-0.010598853,0.074204445,15,3000000000.0
16262,8.131109513950804e-08,0.94359815,0.30478492,-0.010283651999999999,0.074189164,15,3000000000.0
16263,8.131548517878928e-08,0.9417075999999999,0.3108769,-0.00990044,0.074171476,15,3000000000.0
16264,8.132133737290528e-08,0.9392469999999999,0.3185373,-0.0092105055,0.07414412,15,3000000000.0
16265,8.132572747951795e-08,0.9374831,0.3238554,-0.008572047,0.07411837,15,3000000000.0
16266,8.133011723497269e-08,0.9358195,0.32874346,-0.007842973,0.07408697,15,3000000000.0
16267,8.133597059407565e-08,0.9338013000000001,0.3345114,-0.0067519112,0.074041866,15,3000000000.0
16268,8.134036034848338e-08,0.93246675,0.33822522,-0.0058621396,0.0740056,15,3000000000.0
16269,8.134621490795242e-08,0.93096095,0.34230784,-0.004607086,0.07395238,15,3000000000.0
16270,8.135060439380878e-08,0.9300558000000001,0.34469226,-0.003633665,0.0739096,15,3000000000.0
16271,8.13564563264841e-08,0.92916435,0.34695256,-0.0023203217,0.073979795,15,3000000000.0
16272,8.136084618835548e-08,0.9287377,0.34796032,-0.0013419020999999999,0.076017044,15,3000000000.0
16273,8.136523599348196e-08,0.9285178,0.34838903,-0.00038463410000000005,0.078558385,15,3000000000.0
16274,8.137108960149645e-08,0.92853636,0.34809172,0.00083646976,0.08156484,15,3000000000.0
16275,8.137547887715713e-08,0.92877156,0.34725100000000003,0.0016949509,0.083365895,15,3000000000.0
16276,8.138133292294329e-08,0.92935425,0.34536973,0.0027430807,0.08494999,15,3000000000.0
16277,8.138572268544726e-08,0.9299713,0.34344159999999996,0.0034442009999999996,0.08541657,15,3000000000.0
16278,8.139011254727353e-08,0.9307211,0.34112105,0.0040637697,0.085220024,15,3000000000.0
16279,8.139596467476847e-08,0.9318917999999999,0.33750516,0.004752033,0.08395507,15,3000000000.0
16280,8.140035537449683e-08,0.9328703000000002,0.33447078,0.005159131,0.08306830400000001,15,3000000000.0
16281,8.140620925304506e-08,0.9342673,0.3301053,0.005550890699999999,0.0830446,15,3000000000.0
16282,8.141059961945842e-08,0.9353566999999999,0.32666707,0.00573028,0.08209353,15,3000000000.0
16283,8.1416454545123e-08,0.9368271999999999,0.32197478,0.0058186613,0.07946533,15,3000000000.0
16284,8.142084457909246e-08,0.9379190000000001,0.3184508,0.005775336,0.07646077,15,3000000000.0
16285,8.14252344257984e-08,0.93898284,0.3149837,0.005642841,0.07339769,15,3000000000.0
16286,8.14310859390405e-08,0.9403325000000001,0.31054026,0.005337646999999999,0.073392816,15,3000000000.0
16287,8.143547568197629e-08,0.94127756,0.30740228,0.005021464000000001,0.07339363,15,3000000000.0
16288,8.144132887383514e-08,0.94242793,0.30355945,0.004499380999999999,0.07339931,15,3000000000.0
16289,8.144571921635702e-08,0.94319814,0.30097982,0.0040444913,0.07340744,15,3000000000.0
16290,8.145010922340661e-08,0.94388235,0.29869297,0.0035465488,0.07341963,15,3000000000.0
16291,8.145596364293362e-08,0.9446536,0.29613712,0.002833714,0.077623956,15,3000000000.0
16292,8.146035358425813e-08,0.9451229999999999,0.29461079999999995,0.0022766124,0.08303166,15,3000000000.0
16293,8.146620495744959e-08,0.94560283,0.29311076,0.0015244909,0.09261810000000001,15,3000000000.0
16294,8.147059440670508e-08,0.9458545,0.29238623,0.0009667886999999999,0.099011086,15,3000000000.0
16295,8.147644706016908e-08,0.94605035,0.2919407,0.00025096364,0.10582963,15,3000000000.0
16296,8.148083633190131e-08,0.9460976000000001,0.29197833,-0.00025295082,0.11154484,15,3000000000.0
16297,8.148522601750153e-08,0.9460651,0.29231223,-0.00071926956,0.12048989999999998,15,3000000000.0
16298,8.149108049033329e-08,0.94590867,0.293174,-0.0012698291000000001,0.13130622,15,3000000000.0
16299,8.149547032478785e-08,0.9457161000000001,0.29409292,-0.0016210222,0.13815361,15,3000000000.0
16300,8.150132229813446e-08,0.94537455,0.29561627,-0.00199765,0.14498445,15,3000000000.0
16301,8.150571194002201e-08,0.94506705,0.29693413,-0.0022068801,0.14805904,15,3000000000.0
16302,8.151010191693481e-08,0.9447264000000001,0.2983585,-0.0023508,0.14921819,15,3000000000.0
16303,8.151595522749842e-08,0.94423854,0.30035326,-0.0024396365,0.14781277,15,3000000000.0
16304,8.152034532173161e-08,0.9438615,0.30186856,-0.0024295757,0.14475283,15,3000000000.0
16305,8.152620036987614e-08,0.9433647,0.3038396,-0.002317315,0.13853699,15,3000000000.0
16306,8.153059017829723e-08,0.94301057,0.30523086,-0.0021630516000000002,0.13274018,15,3000000000.0
16307,8.153644226729305e-08,0.94258255,0.30690363,-0.0018720966,0.12418008,15,3000000000.0
16308,8.154083215351321e-08,0.9423068000000001,0.30798095,-0.0015967574,0.11754929,15,3000000000.0
16309,8.154522213247867e-08,0.9420795,0.30887529999999996,-0.0012793617,0.111015625,15,3000000000.0
16310,8.155107461089496e-08,0.9418639000000001,0.30974323,-0.0008028859,0.102753274,15,3000000000.0
16311,8.155546473446356e-08,0.94177514,0.31012744,-0.000415248,0.09701136,15,3000000000.0
16312,8.15613193641734e-08,0.94176173,0.3102598,0.00012678036,0.09001136,15,3000000000.0
16313,8.156570931036966e-08,0.9418329,0.31006518,0.000541275,0.08522912,15,3000000000.0
16314,8.157009984980305e-08,0.941974,0.30961713,0.0009534456,0.08078419,15,3000000000.0
16315,8.157595224187563e-08,0.9422674000000001,0.30863342,0.0014848557999999998,0.0752733,15,3000000000.0
16316,8.158034216332468e-08,0.9425620000000001,0.30761832,0.0018595781,0.07433779,15,3000000000.0
16317,8.158619506745378e-08,0.9430438,0.3059243,0.00231292,0.07435785,15,3000000000.0
16318,8.159058449197196e-08,0.9434629000000001,0.3044249,0.0026091782000000003,0.074368276,15,3000000000.0
16319,8.15964382152805e-08,0.9440835,0.30216762,0.0029341334000000004,0.07437871,15,3000000000.0
16320,8.160082706925234e-08,0.94458324,0.30032,0.003118294,0.07438513,15,3000000000.0
16321,8.160521665167893e-08,0.9451014999999999,0.29837498,0.0032466290000000004,0.07438753,15,3000000000.0
16322,8.161106918200161e-08,0.94580406,0.29569194,0.0033251606,0.07438513,15,3000000000.0
16323,8.161545887849253e-08,0.9463263000000001,0.29366040000000004,0.0033117668,0.07438111,15,3000000000.0
16324,8.162131197656009e-08,0.9469974,0.29099923,0.0031956157,0.07437068,15,3000000000.0
16325,8.162570216705031e-08,0.94746965,0.28908932,0.0030350809,0.074361056,15,3000000000.0
16326,8.163009275965456e-08,0.94790524,0.28729576,0.0028131321999999995,0.07434662,15,3000000000.0
16327,8.16359483082541e-08,0.9484151,0.2851492,0.002426053,0.07432575,15,3000000000.0
16328,8.164033847048355e-08,0.94873434,0.2837692,0.0020722982000000003,0.074307285,15,3000000000.0
16329,8.164619175943811e-08,0.9490642,0.28229603,0.0015249178,0.07427838,15,3000000000.0
16330,8.165058225183298e-08,0.94923234,0.28150272,0.0010649030999999999,0.07454456,15,3000000000.0
16331,8.165643569454351e-08,0.9493423000000001,0.28090584,0.00039812204,0.07550913,15,3000000000.0
16332,8.16608266854489e-08,0.94933426,0.28082812,-0.00013280768999999998,0.07564963400000001,15,3000000000.0
16333,8.166521736726996e-08,0.9492454,0.28108272,-0.0006814294,0.07523049,15,3000000000.0
16334,8.167107261079805e-08,0.9489973,0.28195274,-0.0014265298,0.07595659,15,3000000000.0
16335,8.16754631464366e-08,0.94871277,0.28300563,-0.0019844882,0.077629335,15,3000000000.0
16336,8.168131590186441e-08,0.94820106,0.28493512,-0.0027112174,0.0793263,15,3000000000.0
16337,8.168570606568849e-08,0.9477189,0.28676367,-0.0032327375,0.08007197,15,3000000000.0
16338,8.169009614745609e-08,0.9471543,0.28890140000000003,-0.0037250277000000004,0.08027515,15,3000000000.0
16339,8.169594890623633e-08,0.94627774,0.2921948,-0.004322645999999999,0.07964009,15,3000000000.0
16340,8.170033887890848e-08,0.9455328000000002,0.2949634,-0.004717645,0.07924803,15,3000000000.0
16341,8.17061935000594e-08,0.94443256,0.29899397,-0.0051612123,0.07775222,15,3000000000.0
16342,8.171058351285766e-08,0.9435363999999999,0.3022238,-0.005424216999999999,0.07840633400000001,15,3000000000.0
16343,8.171643640501366e-08,0.9422625,0.3067324,-0.0056733703,0.07872606,15,3000000000.0
16344,8.172082642442416e-08,0.9412603999999999,0.31021202,-0.0057795597,0.07827305,15,3000000000.0
16345,8.172521641743065e-08,0.9402306,0.3137272,-0.0058138366,0.077172995,15,3000000000.0
16346,8.173106878605777e-08,0.9388363000000001,0.31839174,-0.005745481,0.07469726,15,3000000000.0
16347,8.173545880307714e-08,0.93779165,0.32181665,-0.005608442700000001,0.07366705,15,3000000000.0
16348,8.174131366869984e-08,0.9364273999999999,0.32620195,-0.0053132796,0.07363789,15,3000000000.0
