,# t (s),mx (),my (),mz (),MaxAngle (rad),phi (degree),f_RF (GHz)
318601,1.5930058276389397e-06,0.33125684,-0.9380671999999999,-0.0015951284,0.11026202,295,3000000000.0
318602,1.5930102396146514e-06,0.3328988,-0.93748325,-0.0035659827000000003,0.11008638,295,3000000000.0
318603,1.593016115778596e-06,0.33682042,-0.93608445,-0.0060205716,0.10981641,295,3000000000.0
318604,1.5930205199778426e-06,0.34096503,-0.9345902,-0.007704885,0.109626986,295,3000000000.0
318605,1.5930263875995032e-06,0.34792313,-0.93203896,-0.00970409,0.10939739,295,3000000000.0
318606,1.593030786606572e-06,0.35408238,-0.9297328000000001,-0.010996528,0.10921107,295,3000000000.0
318607,1.5930351839362586e-06,0.36092013,-0.9271181999999999,-0.012094902,0.108978406,295,3000000000.0
318608,1.5930410461438303e-06,0.37088114,-0.92320377,-0.0132376375,0.10854405,295,3000000000.0
318609,1.5930454406513642e-06,0.37881443,-0.91999394,-0.013842173000000001,0.10810962,295,3000000000.0
318610,1.5930512975439219e-06,0.38975716,-0.91542876,-0.014302868,0.10736240400000001,295,3000000000.0
318611,1.5930556894722712e-06,0.39806795,-0.91185236,-0.014388382,0.10665981,295,3000000000.0
318612,1.5930600810477017e-06,0.4063239,-0.90820354,-0.014253963,0.10581101,295,3000000000.0
318613,1.5930659337933218e-06,0.41702712,-0.90332717,-0.013743876,0.104431204,295,3000000000.0
318614,1.5930703241504415e-06,0.42467922,-0.89973676,-0.013125493,0.103193395,295,3000000000.0
318615,1.5930761786016556e-06,0.43417669999999997,-0.8951556,-0.012011072,0.10243609,295,3000000000.0
318616,1.5930805684483357e-06,0.44064415,-0.89195365,-0.01097877,0.104847215,295,3000000000.0
318617,1.5930864207451598e-06,0.44823715,-0.8881043,-0.0093755815,0.10802838,295,3000000000.0
318618,1.5930908103028617e-06,0.453071,-0.88559896,-0.008029634,0.11030155400000001,295,3000000000.0
318619,1.5930951998994328e-06,0.4571049,-0.88347125,-0.006585444,0.11242172,295,3000000000.0
318620,1.5931010511398423e-06,0.46116707,-0.8812853999999999,-0.0045482568,0.114959925,295,3000000000.0
318621,1.5931054404032896e-06,0.46319258,-0.88016844,-0.0029673840000000004,0.11659761,295,3000000000.0
318622,1.593111294662319e-06,0.46450698,-0.87940574,-0.0008352025,0.11830717,295,3000000000.0
318623,1.593115683676706e-06,0.46445438,-0.8793846,0.00074951473,0.11917361,295,3000000000.0
318624,1.5931200728395488e-06,0.46352825,-0.8798278,0.002296082,0.1196749,295,3000000000.0
318625,1.5931259245435991e-06,0.46098292,-0.8811099,0.0042594424,0.11982707,295,3000000000.0
318626,1.5931303135121409e-06,0.45814252,-0.88255394,0.005630589,0.11960698,295,3000000000.0
318627,1.5931361643310757e-06,0.45321327,-0.8850531999999999,0.0072864769999999995,0.11893424,295,3000000000.0
318628,1.5931405533412536e-06,0.44874033,-0.8873014000000001,0.008377521,0.11818188,295,3000000000.0
318629,1.5931464076897204e-06,0.44187966,-0.8907036,0.00960359,0.11692097,295,3000000000.0
318630,1.5931507968181503e-06,0.43617272,-0.89348805,0.010335811,0.11585335,295,3000000000.0
318631,1.5931551858144332e-06,0.43008325,-0.8964114,0.010897968999999999,0.114759184,295,3000000000.0
318632,1.5931610380393832e-06,0.42153415,-0.90043104,0.011373281499999999,0.11337985,295,3000000000.0
318633,1.5931654270730294e-06,0.41493022,-0.9034684999999999,0.011520717,0.11247165,295,3000000000.0
318634,1.5931712778186325e-06,0.40606514,-0.9074530000000001,0.011439978,0.11149397,295,3000000000.0
318635,1.5931756672079637e-06,0.39950088,-0.9103353000000001,0.011176501,0.11095589,295,3000000000.0
318636,1.5931800566825643e-06,0.39312238,-0.9130813,0.010746677,0.11058599999999999,295,3000000000.0
318637,1.5931859104012355e-06,0.38507199999999997,-0.91647124,0.009931561,0.11032051,295,3000000000.0
318638,1.5931902991591887e-06,0.37949505,-0.9187713,0.009155011999999999,0.11025173,295,3000000000.0
318639,1.593196150685184e-06,0.37282574,-0.9214720999999999,0.007927015,0.11025119,295,3000000000.0
318640,1.5932005394060689e-06,0.3684908,-0.9232004999999999,0.0068831783999999995,0.11024793,295,3000000000.0
318641,1.5932063899977155e-06,0.36371303,-0.9250849,0.0053627336999999995,0.110097766,295,3000000000.0
318642,1.5932107793741972e-06,0.36093876,-0.92617315,0.0041506053000000005,0.10976745,295,3000000000.0
318643,1.5932151687555975e-06,0.35889485,-0.92697763,0.0028997135999999997,0.10915801,295,3000000000.0
318644,1.5932210226887992e-06,0.35733563,-0.9276074000000001,0.0012066287,0.10780149,295,3000000000.0
318645,1.593225412039227e-06,0.3570454,-0.9277498,-5.5038374e-05,0.106305934,295,3000000000.0
318646,1.5932312643131171e-06,0.35780826,-0.92750955,-0.0016891064999999999,0.10583583,295,3000000000.0
318647,1.5932356535343902e-06,0.3592092,-0.9270164000000001,-0.0028542113,0.10931219,295,3000000000.0
318648,1.5932400424593619e-06,0.3612781,-0.9262665000000001,-0.003947973,0.112539604,295,3000000000.0
318649,1.5932458928239143e-06,0.3649875,-0.9248898999999999,-0.005267909,0.11631547,295,3000000000.0
318650,1.5932502814233481e-06,0.36840606,-0.92359513,-0.006136568,0.118647054,295,3000000000.0
318651,1.5932561341507043e-06,0.37368244,-0.9215546999999998,-0.0071110763,0.120963044,295,3000000000.0
318652,1.5932605223892178e-06,0.3780779,-0.91981894,-0.0076921657,0.12204003,295,3000000000.0
318653,1.5932663731042638e-06,0.38437074,-0.91727865,-0.008255545999999999,0.122546226,295,3000000000.0
318654,1.5932707616622669e-06,0.38930732,-0.91524106,-0.008514989,0.12223817,295,3000000000.0
318655,1.5932751495559562e-06,0.39433542,-0.9131254000000001,-0.008633517,0.12138858,295,3000000000.0
318656,1.5932809987897561e-06,0.4010387,-0.910241,-0.008575548,0.11955802,295,3000000000.0
318657,1.5932853871293503e-06,0.40596518,-0.90807444,-0.008375492,0.11779907,295,3000000000.0
318658,1.5932912388952194e-06,0.41225556,-0.9052498,-0.007912599000000001,0.11519041,295,3000000000.0
318659,1.5932956272679116e-06,0.4166747,-0.9032253,-0.0074299634,0.11320322,295,3000000000.0
318660,1.5933000151939703e-06,0.42076963,-0.90131944,-0.0068432232,0.11131811,295,3000000000.0
318661,1.5933058673174513e-06,0.42563549999999994,-0.89901555,-0.0059201485,0.10909397,295,3000000000.0
318662,1.5933102556709182e-06,0.42877996,-0.8975030999999999,-0.0051403379999999995,0.10769507,295,3000000000.0
318663,1.5933161055031646e-06,0.43223354,-0.8958183000000001,-0.004012025,0.10617946,295,3000000000.0
318664,1.593320494027282e-06,0.4342382000000001,-0.89482677,-0.0031188738,0.10524286,295,3000000000.0
318665,1.5933263461461656e-06,0.43610140000000003,-0.89389145,-0.0018953218,0.10410706,295,3000000000.0
318666,1.5933307346080455e-06,0.43688459999999996,-0.8934885,-0.00097357837,0.10321133,295,3000000000.0
318667,1.5933351228799563e-06,0.43714583,-0.8933416999999999,-6.513869e-05,0.10215709,295,3000000000.0
318668,1.5933409746347619e-06,0.43670473,-0.89353436,0.0011006339999999999,0.10034616,295,3000000000.0
318669,1.5933453631473731e-06,0.43580922,-0.89395595,0.0019231563,0.09984871,295,3000000000.0
318670,1.5933512129914482e-06,0.4339182,-0.8948560999999999,0.0029273254,0.10675662,295,3000000000.0
318671,1.59335560203128e-06,0.43202347,-0.89575845,0.0035975724,0.11155181,295,3000000000.0
318672,1.5933614548454384e-06,0.42894334,-0.8972181,0.004363147,0.117130786,295,3000000000.0
318673,1.5933658436249309e-06,0.42628124,-0.8984699,0.0048316796,0.120533034,295,3000000000.0
318674,1.5933702325800472e-06,0.42337516,-0.89982504,0.0052036946,0.123161994,295,3000000000.0
318675,1.5933760847744947e-06,0.41921714,-0.90174204,0.0055435454000000006,0.1253793,295,3000000000.0
318676,1.5933804736369803e-06,0.41596127,-0.90322477,0.005679194300000001,0.12607946,295,3000000000.0
318677,1.5933863235933412e-06,0.41154942,-0.9052073,0.005701838000000001,0.12584744,295,3000000000.0
318678,1.5933907121846e-06,0.40826115,-0.90666527,0.0056031686,0.124946244,295,3000000000.0
318679,1.5933951014773604e-06,0.40505359999999996,-0.9080709000000001,0.0054097716,0.12357952,295,3000000000.0
318680,1.5934009548319531e-06,0.40099582,-0.9098264000000001,0.0050143832,0.12131078,295,3000000000.0
318681,1.593405344321841e-06,0.39818257,-0.9110285,0.0046240594,0.119471036,295,3000000000.0
318682,1.5934111969781401e-06,0.39482343,-0.91244835,0.003994748,0.11710019,295,3000000000.0
318683,1.5934155858443173e-06,0.3926486,-0.913359,0.0034537215,0.11552959,295,3000000000.0
318684,1.5934214364209738e-06,0.39026907,-0.9143485999999998,0.0026604878000000003,0.11385878,295,3000000000.0
318685,1.5934258255188213e-06,0.38890532,-0.91491354,0.0020259365,0.11297187,295,3000000000.0
318686,1.5934302151233654e-06,0.38792157,-0.91532135,0.0013703813,0.112411626,295,3000000000.0
318687,1.593436068622929e-06,0.38721615,-0.915618,0.0004840022,0.112145096,295,3000000000.0
318688,1.5934404582212919e-06,0.38714299999999996,-0.9156556999999999,-0.00017469519,0.112259015,295,3000000000.0
318689,1.5934463106940869e-06,0.3876392,-0.9154656999999999,-0.0010233223,0.11273052,295,3000000000.0
318690,1.5934506996668708e-06,0.38843679999999997,-0.9151501,-0.0016235897,0.11324015,295,3000000000.0
318691,1.5934550884410185e-06,0.3895744,-0.91469455,-0.0021817088,0.11380789,295,3000000000.0
318692,1.5934609387120104e-06,0.39156988,-0.91388655,-0.002844595,0.11451896,295,3000000000.0
318693,1.5934653276200897e-06,0.39338179999999995,-0.9131450999999999,-0.0032707774,0.11492251,295,3000000000.0
318694,1.5934711810327861e-06,0.39614376,-0.9120020000000001,-0.0037317288,0.115138024,295,3000000000.0
318695,1.593475569897341e-06,0.3984178,-0.9110497999999999,-0.003990109,0.11495837,295,3000000000.0
318696,1.5934814221127988e-06,0.40163347,-0.9096860999999999,-0.004211476,0.114138074,295,3000000000.0
318697,1.5934858112364363e-06,0.40412109999999996,-0.9086178,-0.004282539,0.11301892,295,3000000000.0
318698,1.5934901998235026e-06,0.40662017,-0.9075325999999999,-0.0042716833,0.11143127,295,3000000000.0
318699,1.593496049603305e-06,0.40988758,-0.9060953000000002,-0.0041318433,0.10856276,295,3000000000.0
318700,1.5935004385280691e-06,0.41223190000000004,-0.9050513000000001,-0.003936253,0.105862916,295,3000000000.0
318701,1.5935062908219131e-06,0.41513288,-0.9037441999999999,-0.0035623603,0.10614346,295,3000000000.0
318702,1.5935106793807269e-06,0.41708833,-0.9028533999999999,-0.0032043552000000004,0.10710009,295,3000000000.0
318703,1.5935150677684645e-06,0.41881576,-0.9020600000000001,-0.0027872983000000002,0.10786906,295,3000000000.0
318704,1.593520920111942e-06,0.42071226,-0.9011815999999999,-0.0021527423999999997,0.10860896,295,3000000000.0
318705,1.5935253089937373e-06,0.42179629999999996,-0.9006761000000001,-0.0016293714,0.10896087,295,3000000000.0
318706,1.5935311594345448e-06,0.42275432,-0.9002273999999999,-0.0008863418,0.10918701,295,3000000000.0
318707,1.5935355486335439e-06,0.42309108,-0.90006965,-0.00030775994,0.10920341,295,3000000000.0
318708,1.5935414011388556e-06,0.42301878,-0.90010554,0.00047243970000000003,0.10908248,295,3000000000.0
318709,1.593545790014635e-06,0.42257416,-0.9003173000000001,0.0010507328,0.10893455,295,3000000000.0
318710,1.5935501783605076e-06,0.42180216,-0.9006834999999999,0.0016119004999999998,0.10878039,295,3000000000.0
