,Unnamed: 0,# t (s),mx (),my (),mz (),MaxAngle (rad),phi (degree),f_RF (GHz)
600,60000,3.0000148286942947e-07,0.5487033,0.8287030000000001,-0.0016624127,0.100126974,55,3500000000.0
601,60001,3.000058877502429e-07,0.54781896,0.8292971,-0.0016928426000000002,0.10066754,55,3500000000.0
602,60002,3.0001029062659865e-07,0.54692113,0.8298986999999999,-0.0017148234,0.10121054,55,3500000000.0
603,60003,3.000161601490549e-07,0.5457105,0.8307084000000001,-0.0017300173999999998,0.10192771,55,3500000000.0
604,60004,3.0002055848359734e-07,0.54479975,0.83131623,-0.0017300779,0.10245882,55,3500000000.0
605,60005,3.000264195773709e-07,0.5435911999999999,0.8321208000000001,-0.0017139864000000002,0.10314304,55,3500000000.0
606,60006,3.0003081492029903e-07,0.5426962,0.8327155,-0.0016890898,0.10363221,55,3500000000.0
607,60007,3.00035209467918e-07,0.5418175999999999,0.83329815,-0.0016526546,0.104097314,55,3500000000.0
608,60008,3.000410666741538e-07,0.54068273,0.83404946,-0.0015854241,0.10467336,55,3500000000.0
609,60009,3.000454593474956e-07,0.5398673,0.8345884,-0.0015205806,0.105067395,55,3500000000.0
610,60010,3.000513173372233e-07,0.5388399,0.83526665,-0.001414474,0.105535805,55,3500000000.0
611,60011,3.000557086906379e-07,0.5381235,0.8357389000000001,-0.0013201298,0.10584486,55,3500000000.0
612,60012,3.000600995178643e-07,0.5374608000000001,0.8361757,-0.0012132006,0.10611533,55,3500000000.0
613,60013,3.000659518602068e-07,0.53667235,0.83669543,-0.0010515277,0.10641654,55,3500000000.0
614,60014,3.000703417909678e-07,0.5361604999999999,0.83703315,-0.00091643323,0.10659484,55,3500000000.0
615,60015,3.000761928178757e-07,0.5355958000000001,0.8374068000000001,-0.0007191138,0.106773965,55,3500000000.0
616,60016,3.000805825358273e-07,0.53526765,0.83762515,-0.0005591639,0.10686733,55,3500000000.0
617,60017,3.000864368981503e-07,0.5349670999999999,0.83782727,-0.00033184225,0.10693604,55,3500000000.0
618,60018,3.000908261034018e-07,0.53485036,0.8379085999999999,-0.00015244011999999998,0.106948316,55,3500000000.0
619,60019,3.0009521578175805e-07,0.53483063,0.8379271,3.3182103000000004e-05,0.10693101,55,3500000000.0
620,60020,3.001010679721298e-07,0.53496,0.8378511000000001,0.00028770018,0.10686174,55,3500000000.0
621,60021,3.001054572543089e-07,0.535176,0.8377167,0.00048176834,0.106777884,55,3500000000.0
622,60022,3.001113077754572e-07,0.5356241,0.83743346,0.00074134493,0.10662565,55,3500000000.0
623,60023,3.0011569626428505e-07,0.5360796,0.8371429,0.00093433575,0.10648442,55,3500000000.0
624,60024,3.001200845941643e-07,0.5366357,0.83678615,0.0011237244,0.10631773,55,3500000000.0
