t	mx	my	mz	MaxAngle	phi	f_RF
0.0	0.37681654	0.92016757	0.004592764	0.109912634	65	5000000000.0
4.4023886662893445e-12	0.37975064	0.9189976	0.005255899	0.10892578	65	5000000000.0
1.0267553618326074e-11	0.38418868	0.9172027	0.005956347	0.10747415	65	5000000000.0
1.466538621790013e-11	0.38781908	0.91571224	0.006337299	0.10626829	65	5000000000.0
2.052695731322083e-11	0.39291862	0.91358477	0.0066476273	0.104502656	65	5000000000.0
2.49215703807435e-11	0.39684013	0.91192204	0.0067323525	0.10459175	65	5000000000.0
2.9315659703125044e-11	0.40076318	0.9102349	0.006693133	0.105926074	65	5000000000.0
3.517443737510644e-11	0.40587562	0.9080009	0.0064569516	0.10735684	65	5000000000.0
3.956683216080198e-11	0.4095346	0.906377	0.0061516017	0.10814608	65	5000000000.0
4.542073154139418e-11	0.41406652	0.9043363	0.0055918633	0.10880399	65	5000000000.0
4.981199312951401e-11	0.41714093	0.90293366	0.0050720978	0.10900799	65	5000000000.0
5.4202738234794385e-11	0.41988748	0.901668	0.00448093	0.108978406	65	5000000000.0
6.005625828571014e-11	0.4229797	0.90022874	0.0036055492	0.10861391	65	5000000000.0
6.444593745900107e-11	0.42483836	0.8993567	0.002902357	0.10813503	65	5000000000.0
7.029926830880267e-11	0.42667225	0.8984917	0.0019303298	0.10728728	65	5000000000.0
7.468855137370032e-11	0.4275554	0.89807403	0.0011945029	0.10654385	65	5000000000.0
8.053987090771683e-11	0.42808172	0.89782655	0.00023091472	0.1054792	65	5000000000.0
8.492911359111281e-11	0.42800263	0.89786685	-0.00046195736	0.10466709	65	5000000000.0
8.931853071072695e-11	0.42753768	0.8980911	-0.0011159246	0.103874505	65	5000000000.0
9.517123650643529e-11	0.42636195	0.8986533	-0.0019092578	0.10287408	65	5000000000.0
9.956084533962212e-11	0.42510393	0.89925075	-0.0024337466	0.10217813	65	5000000000.0
1.0541487915159577e-10	0.42299387	0.9002453	-0.0030257024	0.1013149	65	5000000000.0
1.0980423393138493e-10	0.42114022	0.90111154	-0.0033822625	0.10069897	65	5000000000.0
1.1419312051620065e-10	0.41910216	0.90205616	-0.0036602796	0.1000894	65	5000000000.0
1.2004353273388211e-10	0.4161762	0.903398	-0.003906376	0.09924296	65	5000000000.0
1.2443242600104664e-10	0.4138832	0.9044374	-0.003998009	0.09985888	65	5000000000.0
1.302842344027227e-10	0.41078112	0.9058272	-0.0040001217	0.103096716	65	5000000000.0
1.3467320289149513e-10	0.40847704	0.9068465	-0.003916414	0.10555391	65	5000000000.0
1.405267820907216e-10	0.40551186	0.908142	-0.0037006692	0.10875348	65	5000000000.0
1.4491558995769504e-10	0.4034176	0.909045	-0.0034690218	0.11101885	65	5000000000.0
1.493046273916142e-10	0.4014707	0.90987545	-0.0031854836	0.11311137	65	5000000000.0
1.5515533954323876e-10	0.39915317	0.91085136	-0.0027406346	0.1155482	65	5000000000.0
1.5954427377699296e-10	0.39765307	0.91147506	-0.0023677354	0.11706242	65	5000000000.0
1.6539573471278386e-10	0.3960036	0.9121516	-0.0018349788	0.11862288	65	5000000000.0
1.697844550102619e-10	0.39504394	0.91253895	-0.0014201438	0.11943902	65	5000000000.0
1.7417265576361754e-10	0.39432833	0.912823	-0.001001923	0.11995813	65	5000000000.0
1.8002566724282276e-10	0.3937531	0.91304356	-0.00045311166	0.12022232	65	5000000000.0
1.8441446195262167e-10	0.3935989	0.9130944	-5.843725e-05	0.12013831	65	5000000000.0
1.902651007981504e-10	0.3937424	0.9130193	0.0004318816	0.11971932	65	5000000000.0
1.9465382136890244e-10	0.3940919	0.9128646	0.00076486915	0.11922323	65	5000000000.0
2.005055661595159e-10	0.39484364	0.9125421	0.0011527501	0.11839299	65	5000000000.0
2.0489443522980785e-10	0.39559248	0.9122251	0.0013964482	0.11768542	65	5000000000.0
2.0928296729602446e-10	0.39647245	0.91185457	0.0015965056	0.11693477	65	5000000000.0
2.151358357204705e-10	0.39780453	0.9112953	0.0017926722	0.115900256	65	5000000000.0
2.1952458215802056e-10	0.3988872	0.91084117	0.0018862152	0.115114674	65	5000000000.0
2.2537545218112814e-10	0.4003915	0.9102099	0.0019409914	0.11406164	65	5000000000.0
2.2976440450051807e-10	0.40153188	0.9097307	0.0019320862	0.113261774	65	5000000000.0
2.3415310439461354e-10	0.40265557	0.9092582	0.0018835108	0.11244828	65	5000000000.0
2.400043460720085e-10	0.40408987	0.9086541	0.0017635683	0.11131811	65	5000000000.0
2.4439358779809845e-10	0.4050927	0.9082313	0.0016380026	0.110419534	65	5000000000.0
2.502471809662217e-10	0.40630224	0.9077214	0.0014326847	0.1091301	65	5000000000.0
2.546360645366589e-10	0.40709722	0.9073869	0.0012574203	0.10807813	65	5000000000.0
2.604867636481054e-10	0.40799156	0.90701216	0.0010060696	0.10654048	65	5000000000.0
2.6487519966555034e-10	0.40853205	0.90678746	0.0008115401	0.10527804	65	5000000000.0
2.6926441395401965e-10	0.40895945	0.9066121	0.0006178735	0.10391991	65	5000000000.0
2.751158629821155e-10	0.40935716	0.9064534	0.00036983204	0.10196754	65	5000000000.0
2.7950456101951475e-10	0.4095332	0.90638775	0.00019732576	0.10040981	65	5000000000.0
2.8535792061719107e-10	0.40962029	0.9063652	-7.2758894e-06	0.10068889	65	5000000000.0
2.897468049816158e-10	0.40958834	0.9063906	-0.00013751871	0.10169137	65	5000000000.0
2.941359517018434e-10	0.40948647	0.90644616	-0.00024529957	0.10265153	65	5000000000.0
2.999867969577076e-10	0.40926525	0.9065567	-0.00035150867	0.103862435	65	5000000000.0
3.0437593607549685e-10	0.40905336	0.90665853	-0.00040227285	0.10471614	65	5000000000.0
3.1022705777681583e-10	0.4087365	0.90680736	-0.0004319082	0.10577601	65	5000000000.0
3.1461620912189625e-10	0.40849075	0.9069205	-0.00042704	0.10650629	65	5000000000.0
3.204695990652161e-10	0.40817645	0.90706253	-0.00038796468	0.10738965	65	5000000000.0
3.2485810211769555e-10	0.40796536	0.90715575	-0.00033754177	0.107975304	65	5000000000.0
3.2924688142303565e-10	0.40778595	0.90723276	-0.0002724158	0.10848461	65	5000000000.0
3.350980946276828e-10	0.40760857	0.90730476	-0.00016877009	0.10903045	65	5000000000.0
3.394870988371052e-10	0.4075284	0.90733284	-8.33009e-05	0.10931874	65	5000000000.0
3.453376037073797e-10	0.40749696	0.9073341	3.3465072e-05	0.10951197	65	5000000000.0
3.497262916520108e-10	0.40752968	0.90730786	0.00011808798	0.10948634	65	5000000000.0
3.5411585894220203e-10	0.40760788	0.9072597	0.00019595597	0.10929143	65	5000000000.0
3.5996982122939013e-10	0.40777445	0.90716606	0.00028315952	0.10872712	65	5000000000.0
3.643594342603134e-10	0.40793696	0.9070779	0.00033198073	0.1080494	65	5000000000.0
3.7021115285034493e-10	0.4081866	0.9069447	0.0003699745	0.106773406	65	5000000000.0
3.7460007013295815e-10	0.40838507	0.9068393	0.00037554384	0.10552901	65	5000000000.0
3.804511309921123e-10	0.40864256	0.9067021	0.00034991422	0.10615415	65	5000000000.0
3.848403054346165e-10	0.4088145	0.906609	0.0003051776	0.10869086	65	5000000000.0
3.8922916076264594e-10	0.4089546	0.9065308	0.00023878417	0.111074254	65	5000000000.0
3.950824210577794e-10	0.4090713	0.90645933	0.0001182358	0.113886066	65	5000000000.0
3.994710265453942e-10	0.4090918	0.90643716	6.076157e-06	0.11564433	65	5000000000.0
4.053220400032082e-10	0.40901133	0.90645814	-0.00016783734	0.11743794	65	5000000000.0
4.097113608901916e-10	0.4088599	0.90651655	-0.00031256763	0.11833747	65	5000000000.0
4.155616963302656e-10	0.40852606	0.90665597	-0.0005175152	0.11893323	65	5000000000.0
4.1995010079928024e-10	0.40817264	0.9068087	-0.0006749597	0.11894981	65	5000000000.0
4.243383411400971e-10	0.40773058	0.90700287	-0.00083070365	0.11863849	65	5000000000.0
4.3019104609057244e-10	0.40700734	0.9073239	-0.0010279282	0.11779807	65	5000000000.0
4.3457929588099473e-10	0.4063719	0.907608	-0.0011620477	0.116926596	65	5000000000.0
4.4042981635578666e-10	0.40541625	0.908037	-0.0013142022	0.115562685	65	5000000000.0
4.4481822054771563e-10	0.40463278	0.90838975	-0.0014030798	0.114463665	65	5000000000.0
4.4920641006120876e-10	0.4038071	0.90876216	-0.0014662883	0.11336299	65	5000000000.0
4.5505600992098366e-10	0.40266812	0.90927637	-0.0015054379	0.1119644	65	5000000000.0
4.594444432760982e-10	0.40180743	0.9096655	-0.0014979322	0.1110097	65	5000000000.0
4.652966622664075e-10	0.40068728	0.91017276	-0.0014358375	0.10989416	65	5000000000.0
4.696850265854781e-10	0.39989322	0.910533	-0.0013493922	0.109186456	65	5000000000.0
4.755357918139871e-10	0.39893293	0.9109704	-0.001181526	0.108404756	65	5000000000.0
4.799239386544368e-10	0.39831126	0.9112552	-0.0010177597	0.10791832	65	5000000000.0
4.843124773546154e-10	0.39779404	0.91149426	-0.0008238379	0.10749637	65	5000000000.0
4.901623740476105e-10	0.39729533	0.91172916	-0.00052359595	0.10698684	65	5000000000.0
4.945510786657146e-10	0.39708263	0.91183484	-0.0002718472	0.10660828	65	5000000000.0
5.00404176239625e-10	0.397036	0.9118717	9.082634e-05	0.10605622	65	5000000000.0
5.047932177422669e-10	0.39718926	0.9118165	0.00037643863	0.10557315	65	5000000000.0
5.09182454992423e-10	0.39750937	0.9116877	0.00066767476	0.10500884	65	5000000000.0
5.150339706857176e-10	0.3981969	0.91140014	0.0010546066	0.10410936	65	5000000000.0
5.194230834711054e-10	0.39890474	0.9110987	0.0013360728	0.10331194	65	5000000000.0
5.252741103498388e-10	0.4000913	0.91058725	0.0016881605	0.10484551	65	5000000000.0
5.296631267963991e-10	0.40114936	0.91012675	0.0019272844	0.106569625	65	5000000000.0
