t	mx	my	mz	MaxAngle	phi	f_RF
0.0	1.0	0.0	0.0	0.0	75	3000000000.0
5.121428983848762e-12	0.995435	0.03785657	-0.0867021	0.02932233	75	3000000000.0
1.0511607900940114e-11	0.9745834	0.14123973	-0.17180128	0.0441127	75	3000000000.0
1.504053993801162e-11	0.9320255	0.2708515	-0.23628706	0.05927001	75	3000000000.0
2.097372601377268e-11	0.8190106	0.4775784	-0.30626872	0.07530579	75	3000000000.0
2.587066466522852e-11	0.6635559	0.6503314	-0.34654725	0.089417934	75	3000000000.0
3.0800169783984853e-11	0.45267114	0.7928612	-0.36645654	0.09762908	75	3000000000.0
3.5840939580764977e-11	0.2022055	0.87941146	-0.362642	0.09317839	75	3000000000.0
4.104082434546336e-11	-0.05663483	0.8968517	-0.3334655	0.0869332	75	3000000000.0
4.505838772289904e-11	-0.23407789	0.8690454	-0.29576197	0.08632698	75	3000000000.0
5.058652934686639e-11	-0.42560092	0.799319	-0.22782864	0.09518126	75	3000000000.0
5.631474146668901e-11	-0.5537073	0.7257376	-0.14521645	0.10840642	75	3000000000.0
6.074817561170527e-11	-0.60778785	0.6882608	-0.077251576	0.11208596	75	3000000000.0
6.522733725401384e-11	-0.6272714	0.6770043	-0.00786359	0.10988274	75	3000000000.0
7.111869867304614e-11	-0.60228986	0.7059913	0.08100661	0.10708058	75	3000000000.0
7.556144896818781e-11	-0.54383165	0.7557265	0.14365198	0.11969936	75	3000000000.0
8.011169092893969e-11	-0.44536218	0.8205788	0.20122227	0.12929049	75	3000000000.0
8.636221909287489e-11	-0.2450411	0.90381527	0.26387054	0.13795438	75	3000000000.0
9.115104894388744e-11	-0.049425412	0.93678904	0.2942871	0.13892189	75	3000000000.0
9.595012303164349e-11	0.1639269	0.92493856	0.30613005	0.1372757	75	3000000000.0
1.0088607590039323e-10	0.37559915	0.8619218	0.2976505	0.13503218	75	3000000000.0
1.0581790097407324e-10	0.55517817	0.75918216	0.2695194	0.13104054	75	3000000000.0
1.1074866761033114e-10	0.6893228	0.63949245	0.22515124	0.12205472	75	3000000000.0
1.1564800691273312e-10	0.7770447	0.5282228	0.16940461	0.12123984	75	3000000000.0
1.204367861884124e-10	0.8263833	0.44532093	0.10790354	0.12323718	75	3000000000.0
1.2517879759894212e-10	0.8488294	0.39926404	0.04367809	0.12772402	75	3000000000.0
1.3148684522661775e-10	0.8479402	0.40075797	-0.04204475	0.13397118	75	3000000000.0
1.3619652322410814e-10	0.8250291	0.44748712	-0.10308636	0.14468257	75	3000000000.0
1.4090287998348638e-10	0.77830005	0.52716035	-0.1587689	0.16491102	75	3000000000.0
1.4557670779352948e-10	0.701662	0.6286415	-0.20601559	0.1994014	75	3000000000.0
1.5021509924195358e-10	0.59086525	0.73675793	-0.24200426	0.21694724	75	3000000000.0
1.5638592878630948e-10	0.3918794	0.8623898	-0.26835006	0.21107408	75	3000000000.0
1.610254906125756e-10	0.21609335	0.9236379	-0.2696309	0.17802335	75	3000000000.0
1.6568355779230778e-10	0.035637423	0.94818616	-0.25464374	0.13662167	75	3000000000.0
1.7032313934199955e-10	-0.1298373	0.9390616	-0.22501673	0.12978652	75	3000000000.0
1.7647121119488351e-10	-0.30409163	0.8952224	-0.16795139	0.11746591	75	3000000000.0
1.8106218871929598e-10	-0.39256626	0.85748976	-0.116339676	0.11530445	75	3000000000.0
1.856471461420492e-10	-0.44451252	0.8292363	-0.060608447	0.11300465	75	3000000000.0
1.90238451947116e-10	-0.46170098	0.8180119	-0.0033600386	0.13241869	75	3000000000.0
1.9636221188705008e-10	-0.43276626	0.8332822	0.07105409	0.15963721	75	3000000000.0
2.009508579721627e-10	-0.3726447	0.86324394	0.12237011	0.16554627	75	3000000000.0
2.0553380576430683e-10	-0.27994415	0.9002819	0.16717428	0.15155946	75	3000000000.0
2.1009859732889028e-10	-0.15738417	0.933123	0.20292597	0.17412068	75	3000000000.0
2.161744851206945e-10	0.041284744	0.95051455	0.2327977	0.20639014	75	3000000000.0
2.2072482324773112e-10	0.20192434	0.9330216	0.23974402	0.19676141	75	3000000000.0
2.2526491135649722e-10	0.35660556	0.8876151	0.23284945	0.18605815	75	3000000000.0
2.3129497804665606e-10	0.53173435	0.79528743	0.20373234	0.1603171	75	3000000000.0
2.3581619252542486e-10	0.6306869	0.7171573	0.16943267	0.16100082	75	3000000000.0
2.403349381529191e-10	0.7001793	0.6456762	0.12730156	0.16240652	75	3000000000.0
2.46347071172024e-10	0.7518951	0.57855445	0.063698016	0.156972	75	3000000000.0
2.5085107792556887e-10	0.76506484	0.5574057	0.0136128375	0.16056633	75	3000000000.0
2.5534910077521224e-10	0.7591065	0.56380504	-0.036023393	0.17811589	75	3000000000.0
2.6133847945362327e-10	0.7214734	0.6125009	-0.09797897	0.20825727	75	3000000000.0
2.6583258478170516e-10	0.66847044	0.673047	-0.13871858	0.22059962	75	3000000000.0
2.70333098847972e-10	0.5915968	0.74559766	-0.17226553	0.20143016	75	3000000000.0
2.7633840607478584e-10	0.45173934	0.84313107	-0.20230684	0.1767099	75	3000000000.0
2.808458674726601e-10	0.3239042	0.90314645	-0.21176508	0.18964815	75	3000000000.0
2.8536093929316397e-10	0.18569966	0.94304276	-0.20911077	0.1930393	75	3000000000.0
2.913821289681756e-10	0.0055935103	0.9607895	-0.18727975	0.19934812	75	3000000000.0
2.959004507641927e-10	-0.11195713	0.95217323	-0.15894917	0.21335468	75	3000000000.0
3.004187515570575e-10	-0.20544486	0.9333413	-0.12271265	0.20493284	75	3000000000.0
3.0643981422071876e-10	-0.28598025	0.9074724	-0.06632863	0.16750354	75	3000000000.0
3.1095180937748186e-10	-0.3121703	0.89641964	-0.021104148	0.14089274	75	3000000000.0
3.1546290557484377e-10	-0.3096355	0.8964558	0.024198532	0.1462521	75	3000000000.0
3.214714264843513e-10	-0.2630212	0.9129069	0.08113282	0.16924705	75	3000000000.0
3.2596798591519406e-10	-0.19714761	0.9324638	0.11863472	0.18477394	75	3000000000.0
3.3045065256352876e-10	-0.10740732	0.9510683	0.14953497	0.17563146	75	3000000000.0
3.3642009630896904e-10	0.041543588	0.9618623	0.1775948	0.1713184	75	3000000000.0
3.4089213383615744e-10	0.16558236	0.95183647	0.1870555	0.18463601	75	3000000000.0
3.4535916098194834e-10	0.28959996	0.92368877	0.18585722	0.19628951	75	3000000000.0
3.5130870604716606e-10	0.4386526	0.8626143	0.16816737	0.22488464	75	3000000000.0
3.557669132015906e-10	0.5291375	0.80773413	0.14428128	0.26596102	75	3000000000.0
3.6021853962039517e-10	0.5975017	0.7545558	0.11324741	0.30078113	75	3000000000.0
3.66148308123036e-10	0.6543091	0.69983715	0.06427464	0.29876655	75	3000000000.0
3.705951183483699e-10	0.67324823	0.67820567	0.024508134	0.26607892	75	3000000000.0
3.7503500226042585e-10	0.6737352	0.67630285	-0.015605686	0.23103812	75	3000000000.0
3.8094100770158435e-10	0.6469331	0.70378333	-0.06641318	0.19109337	75	3000000000.0
3.8536380126554025e-10	0.60585713	0.7430599	-0.10027249	0.16675037	75	3000000000.0
3.9125973725324176e-10	0.52205485	0.8102834	-0.13664106	0.18608521	75	3000000000.0
3.9568522782645566e-10	0.43820065	0.8629334	-0.15539059	0.19507217	75	3000000000.0
4.001177866198602e-10	0.33957183	0.909583	-0.16549581	0.17955571	75	3000000000.0
4.0603493626443496e-10	0.19547735	0.9528328	-0.1644153	0.15368986	75	3000000000.0
4.1047217498486006e-10	0.088371664	0.96793574	-0.1528263	0.16107962	75	3000000000.0
4.163849951197923e-10	-0.037819322	0.9679636	-0.124735944	0.18907437	75	3000000000.0
4.2081976716064967e-10	-0.11192006	0.9587879	-0.09613449	0.21105787	75	3000000000.0
4.2525294516276727e-10	-0.16410595	0.9478359	-0.06310292	0.22308429	75	3000000000.0
4.3116034345893545e-10	-0.19698144	0.9383976	-0.015461657	0.23540595	75	3000000000.0
4.3559003965860655e-10	-0.19395243	0.9384901	0.020596066	0.2188961	75	3000000000.0
4.4001830198896356e-10	-0.16791417	0.9448075	0.05498667	0.24364688	75	3000000000.0
4.4592315114429335e-10	-0.09971663	0.9586872	0.09541144	0.27135146	75	3000000000.0
4.5035372313499144e-10	-0.026484516	0.96783996	0.11965494	0.26644	75	3000000000.0
4.5626344876497674e-10	0.092986226	0.9694655	0.14130989	0.23069297	75	3000000000.0
4.606935779217842e-10	0.19130206	0.95809513	0.14828435	0.21299435	75	3000000000.0
4.65122187967566e-10	0.28936413	0.9346351	0.14684308	0.2089052	75	3000000000.0
4.710306544846092e-10	0.40815806	0.8880959	0.13225022	0.22353646	75	3000000000.0
4.754610356590997e-10	0.48142055	0.8477399	0.112914436	0.2508428	75	3000000000.0
4.813633950137381e-10	0.55257463	0.7977979	0.07853033	0.3274204	75	3000000000.0
4.857903743999947e-10	0.5852277	0.77021533	0.04836236	0.40701106	75	3000000000.0
4.902196517429902e-10	0.60065776	0.75540006	0.016295195	0.47864568	75	3000000000.0
4.961220681541419e-10	0.5956944	0.758392	-0.026509637	0.5150505	75	3000000000.0
5.005469191690229e-10	0.57343084	0.777032	-0.05660549	0.4813366	75	3000000000.0
5.064486663524147e-10	0.51940197	0.8188017	-0.09126329	0.4588528	75	3000000000.0
5.108750910059322e-10	0.46134347	0.8572583	-0.111393385	0.43181792	75	3000000000.0
5.153019412292263e-10	0.3900648	0.89613265	-0.12523255	0.38497454	75	3000000000.0
5.21203410097449e-10	0.28036192	0.94016784	-0.13256198	0.3351986	75	3000000000.0
5.256272522153365e-10	0.19360766	0.96286297	-0.12933674	0.31734526	75	3000000000.0
5.300469894104877e-10	0.10965165	0.9753578	-0.11892497	0.3081909	75	3000000000.0
5.359387194201497e-10	0.011881326	0.978446	-0.09525421	0.3122855	75	3000000000.0
5.403564696546263e-10	-0.044858195	0.97441316	-0.071713425	0.33392283	75	3000000000.0
5.462459268653568e-10	-0.09286339	0.9671559	-0.03534639	0.33877906	75	3000000000.0
5.506649654996104e-10	-0.106397055	0.9638801	-0.0062985336	0.35026532	75	3000000000.0
5.550837257687936e-10	-0.100391425	0.9639786	0.022574175	0.3521676	75	3000000000.0
5.609762926527383e-10	-0.063155584	0.9686494	0.058298543	0.40586084	75	3000000000.0
5.65397383069668e-10	-0.015249029	0.97314584	0.081251346	0.4416308	75	3000000000.0
5.712950147303191e-10	0.07031521	0.9751612	0.10443034	0.38861963	75	3000000000.0
