phi	x_0	gamma	I
0deg	4443078380.565646	340937167.6017514	0.00012386640049151193
5deg	4457606362.33557	613080964.2077134	0.002088378779902766
10deg	4532787356.710352	590678010.3537258	0.0040125457388035845
15deg	4514712111.488163	604807390.2176883	0.0058413034828399026
20deg	4523214497.155115	620545499.048574	0.007565202800754152
25deg	4533459753.011806	588785490.2865825	0.009459792704482974
30deg	4548095692.668578	603814695.0671362	0.011038134629815267
35deg	4566683074.647221	597614801.4613429	0.012658176280860243
40deg	4576293491.862397	614248808.465773	0.0137103077379413
45deg	4607790340.361885	608427075.6181955	0.015128161237614101
50deg	4606618447.79711	622176073.879964	0.01568759786695492
55deg	4641116694.823727	624873654.8529419	0.016869155437537527
60deg	4633645997.382874	646058869.5392109	0.016986279650164117
65deg	4670303621.772614	643989068.7975972	0.018029238402984513
70deg	4662571892.571306	660667234.1389694	0.018079489571277235
75deg	4693090930.028745	655144686.9542642	0.018829283965360093
80deg	4689614061.776437	663151351.9635453	0.019013225122261605
85deg	4704473592.158993	-652108613.8684249	0.01933408100525409
90deg	4691793580.637839	665222562.8115122	0.01952422774354432
95deg	4698719489.84546	680736256.3154054	0.019069095617971373
100deg	4689641619.667791	663116105.7744062	0.019014392781687657
105deg	4693094525.345651	655140722.5565977	0.018829549822461437
110deg	4662615574.951402	660612714.347381	0.01808094269050321
115deg	4670336492.50656	644007872.6332918	0.018029756925606294
120deg	4633675303.288289	646112337.3388672	0.01698590583069676
125deg	4641158437.165797	624859426.0241356	0.016870129793376987
130deg	4606642718.548516	622124989.3165753	0.01568846699944396
135deg	4607922248.0885515	608542580.3830652	0.015129061685795489
140deg	4576266551.945734	614140076.9343866	0.013712029542779915
145deg	4566922785.794885	597790321.9042736	0.012658707471856002
150deg	4548161952.127474	603812235.0505146	0.011039179750429708
155deg	4533824170.021827	589059204.3016012	0.009459849941891767
160deg	4523269189.202823	620361908.2040578	0.007566901164313992
165deg	4514804195.947729	605087683.6322026	0.005841000479628351
170deg	4533476674.960254	590251224.4797872	0.004013378198458389
175deg	4485317592.458073	569646888.7745085	0.0021009731867111803
180deg	4418668149.649083	481757283.499362	0.00014112123093190266
