f_RF	x_0	gamma	I
0deg	4484192364.304734	651631196.8383056	0.01970167924834688
5deg	4476064674.118844	664810183.0911057	0.01964791479368349
10deg	4527561145.296633	583619029.4386861	0.02042304620665827
15deg	4522150531.303698	579902537.6919641	0.020026923175596106
20deg	4529076001.12018	604801104.496546	0.019167227630721092
25deg	4536464120.86086	582851732.5672923	0.018736110059442035
30deg	4548811337.160401	600161254.377901	0.017734785469979905
35deg	4567487079.433212	595731142.0439057	0.016862886671746662
40deg	4575867813.575423	612431586.2550552	0.015302767016583844
45deg	4608167012.932441	607146119.3706833	0.014219239352030164
50deg	4607425357.631674	620987544.9534581	0.012406538801768136
55deg	4642619403.073166	624379241.9750041	0.011155668121744063
60deg	4635439693.93652	646344376.8286734	0.009272232181717811
65deg	4672831350.118936	644479293.3277857	0.007953944740152513
70deg	4667246120.578736	661663253.9072535	0.006241627621834698
75deg	4697846209.108774	656467399.1783432	0.00478682018914087
80deg	4696136456.040756	665389729.3625255	0.0031902016219737105
85deg	4712834018.718421	654814067.541315	0.001614830010667955
90deg	4661740662.340015	406761296.03464913	0.00013222955556678535
95deg	4706466429.516437	688190977.5986348	0.0015886867040603313
100deg	4695451977.98951	665700033.4940783	0.0031861065257119863
105deg	4697725816.421346	656493744.3149732	0.004785898576815358
110deg	4666950737.656705	661776135.1559695	0.006238382553764746
115deg	4672626494.734507	644533515.6911895	0.007952084730881243
120deg	4635363002.928117	646363126.0862739	0.009271872790731462
125deg	4642423309.745695	624365404.1091812	0.011153830894362865
130deg	4607398468.164462	621032327.4696847	0.012405862809702024
135deg	4607971728.074018	607149390.0375011	0.01421758622613009
140deg	4575810564.695442	612436967.0883871	0.01530174476629922
145deg	4567340604.569561	595653314.3470194	0.016861998084917233
150deg	4548795921.9677925	600209849.5701616	0.017733953867901078
155deg	4536382866.183374	582747753.7828318	0.01873637224023517
160deg	4528918799.23037	604650043.5672477	0.01916976340046956
165deg	4522068046.962748	579856557.379254	0.020026522178707467
170deg	4527474757.453477	583873975.908518	0.02041969077004591
175deg	4503229563.900497	608843795.675607	0.019960222278604445
180deg	4477870652.0748415	670216401.3649671	0.01958523612890769
