f_RF	x_0	gamma	I
0deg	4383840761.46627	630803062.7172014	0.003950928622006811
5deg	4413231066.481817	598325617.5939769	0.003973993404416006
10deg	4436251302.2208185	578224374.0055778	0.004125245533684754
15deg	4435779687.88727	576890072.4120278	0.00415111123938212
20deg	4434594358.363724	597458776.3122772	0.00412203009597467
25deg	4449825922.423842	580568090.6456621	0.004201588847853617
30deg	4457911770.59816	593847044.8794981	0.004202098769252761
35deg	4482419420.8090725	597089478.7941239	0.004246783857257744
40deg	4486311703.840819	603444956.2724731	0.0041893608677205495
45deg	4522035517.626782	611789363.4523306	0.0042109225076205235
50deg	4515924952.736317	615391603.1725599	0.004113595322199934
55deg	4552176310.17467	629300346.7785656	0.004139255643785635
60deg	4538269356.514181	634707112.9067259	0.00402720296997338
65deg	4576905602.703346	646500340.2343845	0.004072093684222578
70deg	4565170919.581144	650739910.2466913	0.00399891390411973
75deg	4594749704.060231	658190517.8585247	0.004032777894899652
80deg	4591116007.591402	656384100.9623543	0.004034140575706271
85deg	4604266985.769056	656971141.8948919	0.004032055220118784
90deg	4597150385.954568	654368653.8510472	0.0040869101133233915
95deg	4604328600.409318	656941020.4309177	0.004032194818542146
100deg	4591082161.598847	656211687.9437145	0.004035169499838398
105deg	4594750818.603312	658199895.3402373	0.004032730582464947
110deg	4565175470.36017	650742553.051933	0.003998869429460053
115deg	4576903782.443561	646506795.5596361	0.004072090753888665
120deg	4538762836.756393	633372719.6744335	0.004029505336124381
125deg	4552320198.575342	628908874.3971889	0.004139966090869695
130deg	4516347991.456946	614459526.9362948	0.004115012968546473
135deg	4522148170.962127	611568726.2358445	0.004211187182358591
140deg	4486525247.594913	602515774.8448095	0.004190651857443973
145deg	4482423993.426865	596878389.3027394	0.004247039482406237
150deg	4458030436.688893	593576044.8470398	0.004202212516109658
155deg	4449819613.506448	580556384.8859372	0.004201682921828908
160deg	4434659443.300289	597374343.0831931	0.004122630394997641
165deg	4435605669.965072	576473088.8175123	0.004151656990880723
170deg	4436082328.890799	578570452.9005388	0.004124782219977631
175deg	4412780848.056958	597928826.1668278	0.00398087548205821
180deg	4382453739.836186	634780248.1975657	0.003932161526611917
