phi	x_0	gamma	I	sigma_x_0	sigma_gamma	sigma_I
0deg	4481560892.442509	342776594.47499573	0.00011620554122088047	6668334.905482658	9763416.840147251	2.2741540498494256e-06
5deg	4468307264.5713215	565974175.5372797	0.0020817818105554266	18263037.37284099	28927429.326322503	6.784946760893982e-05
10deg	4512112737.007157	599048698.8536053	0.0039062304048213124	19335107.068541292	30958228.542710986	0.00012748558400455385
15deg	4506504005.559657	649968888.250971	0.005546434401891737	18182460.470344815	29783519.119946282	0.00015667297172170503
20deg	4510599166.402707	630464836.9528937	0.00735257429877357	17194706.738903742	27914827.17090231	0.0002026367134499718
25deg	4523787710.857768	624375452.6364852	0.009078596594418788	17004963.723841928	27509973.776834592	0.0002500309985255418
30deg	4542020133.534496	622377556.9286232	0.010645450354993364	16674558.23027018	26922760.596899193	0.0002886102619929924
35deg	4560590399.79259	621413357.0581734	0.012069413151004522	16393620.240643552	26431106.54824284	0.00032239457588537654
40deg	4582190794.431615	622244408.4782555	0.013341872449856492	16559176.435387189	26679453.63440581	0.00035971558061834353
45deg	4603519640.107252	619748152.9558928	0.014539000464459403	16926760.036139242	27215797.63249319	0.00040250619540985156
50deg	4622259503.766033	614772617.2778363	0.0156579725674102	16776249.761931002	26894368.64162699	0.00043325882927501525
55deg	4641037076.397479	611377235.8745012	0.01663019883064307	16950611.96550883	27115830.51774581	0.00046763677407724757
60deg	4655204278.576054	608363872.0517375	0.017524071927834783	16910531.878798023	27004619.314737145	0.0004940931338843317
65deg	4670350734.34959	599991797.8218212	0.018380379141579598	17087255.733293705	27176043.194334693	0.0005309722416955232
70deg	4682334284.60391	591038250.9610776	0.019164000893298602	17086757.366713203	27062679.18681175	0.0005619250374421569
75deg	4690152049.107928	-583004824.0042078	0.019811464733092858	16819860.23513359	26544235.46768018	0.0005796366406034968
80deg	4698381768.482559	-577233538.0976812	0.020272575154051436	16979743.157364585	26727341.766811244	0.0006046756833930203
85deg	4702100515.109695	-574681201.298228	0.020617270918034298	16458098.261200208	25876904.825860728	0.0005986789959562827
90deg	4701627899.686159	-575491541.4704962	0.020781800281474385	16469117.592224995	25903260.48424786	0.0006030229716505725
95deg	4702315320.312095	-573609611.37709	0.020625572244070176	16617988.703390574	26116425.401079264	0.0006058497708536612
100deg	4697637606.284636	-577076109.1979439	0.02028689365037755	16742257.443511909	26352160.007667106	0.0005967844803988311
105deg	4691213144.410583	-583061705.9992505	0.01979554966280471	17074458.213715382	26946162.393458687	0.0005878884672708217
110deg	4681438279.971802	591627245.7947556	0.019164554226218804	16835081.78287352	26671448.468771715	0.0005531034333150066
115deg	4670283164.073438	599972572.44194	0.018379311126413455	17086150.527062796	27174092.40928234	0.0005309242696834909
120deg	4656230115.012206	608909224.9119185	0.017518722978634747	17076952.99921142	27276203.367404304	0.0004983669049549932
125deg	4639786120.076041	612084387.5530205	0.01664019994899786	16785837.969760757	26861736.905092016	0.000462829106094137
130deg	4623565966.823456	614061184.1741097	0.015653070931882902	16856908.717929088	27013833.30179876	0.00043571802114477016
135deg	4602353684.31634	618382185.2301997	0.014551381968536434	16685129.416624663	26812231.803807463	0.0003979626767049488
140deg	4582347505.61464	622143568.6563134	0.01334397000561685	16522749.32019771	26619370.297551494	0.0003590403661944862
145deg	4561379035.901083	622344850.580262	0.01206128355389003	16608215.792825855	26787098.218959194	0.0003259123047412368
150deg	4541293841.430609	622086979.6051879	0.010657493484079286	16625815.46189279	26841708.43604179	0.0002882204399099022
155deg	4524326810.9997635	625111758.0263728	0.009065050611209605	17121360.90638614	27706396.41698771	0.00025107301639998905
160deg	4510231365.47084	629787770.4468784	0.007358924003811092	17030485.306904074	27640575.114038393	0.00020109059935115122
165deg	4506480848.497496	650017496.6906797	0.005545946172901319	18177079.577291194	29775394.72004694	0.00015660067063189505
170deg	4511801780.51086	600303694.8979588	0.0038982790527686256	19630586.104503173	31448993.02912392	0.00012889743992608758
175deg	4468765514.580542	565144162.6962358	0.002085148978611622	18032065.373499215	28550712.45787152	6.71999637163844e-05
180deg	4458385185.06353	387990316.8580952	0.00011763911995057495	10229404.371014997	15188772.185607808	3.124986403641032e-06
