phi	x_0	gamma	I	sigma_x_0	sigma_gamma	sigma_I
0deg	4378839578.558072	629135217.995553	0.0038662447807707822	10662765.690036504	17470823.08040494	6.561288547431099e-05
5deg	4399510840.649601	619459550.6846952	0.0038673538480559636	14910554.856050504	24291378.147024874	9.346333512017119e-05
10deg	4423690543.86528	571677439.2872247	0.004068947458328846	12718426.650198966	20269142.33932835	9.125618821304637e-05
15deg	4423542275.18415	603164843.9089515	0.003987736733613486	13968012.21415184	22555231.00717902	9.297326567440437e-05
20deg	4429059962.49127	599705163.6276162	0.004021900066606113	12989962.519101953	20935660.78887245	8.775048702709066e-05
25deg	4440638490.633806	600483990.0572736	0.004055906771505043	13514842.210915823	21767805.210470248	9.20073737345121e-05
30deg	4457226221.931177	603059408.0425106	0.004078331159961342	13198918.12953154	21253993.997997183	9.003895033257555e-05
35deg	4475987895.872235	606350616.2826055	0.0040782217881660575	13135427.362612426	21151425.38480428	8.919013772574147e-05
40deg	4495770445.173078	610656270.386322	0.004076489273047747	13395147.79646618	21579358.800072365	9.034431487414758e-05
45deg	4517055511.837864	609880869.9483159	0.004072738834723252	14392737.614779135	23145904.345292702	9.718964309891418e-05
50deg	4537640541.09663	607706832.1323211	0.004083924815494278	14762339.560073994	23687783.312331382	0.00010038819481334363
55deg	4555269142.494145	608581343.3167114	0.004091821260252394	15218365.544328922	24404395.41941798	0.00010359489295656515
60deg	4571975004.545911	607600682.9482785	0.004102762708109482	15757681.28596563	25236446.66446129	0.00010777009895103487
65deg	4586636502.354194	601431498.1881267	0.004139963004493104	15963992.551415024	25479879.038973443	0.00011133270643307568
70deg	4600307358.739432	592568638.6766717	0.004180888184056196	15936832.448136892	25323300.898982298	0.00011393831894972092
75deg	4610197303.66125	587451440.1724551	0.004217346417503341	15975801.307961013	25318754.9760124	0.00011622895150835362
80deg	4617625514.522428	581745910.6097684	0.004250955939799287	15845736.780468278	25044049.93676619	0.00011734204747999922
85deg	4621755122.202024	579798206.9426978	0.00427688947247304	15899194.416880589	25103798.422631603	0.0001188559792967835
90deg	4620881650.557835	581718531.1627202	0.004300263439807916	15963685.657190004	25227074.876538444	0.00011959704242644873
95deg	4623078835.438033	579276152.1872559	0.0042767202867655335	15705791.011047201	24791710.843223084	0.00011751207103680415
100deg	4618296510.241539	583248484.2242451	0.004245857792976815	16043131.15181041	25371658.414078634	0.0001183596339723926
105deg	4609682840.277642	586252187.5045686	0.004222125368724629	15842974.137205143	25095839.87653692	0.00011562635011811859
110deg	4599578685.707244	593435634.9419694	0.004180313042810184	16049564.268594915	25512796.983659085	0.0001145606926659714
115deg	4586608767.436304	601236192.850927	0.004141002019530371	15958646.405056998	25469207.698090144	0.0001113592887164034
120deg	4571657650.5013075	607077240.5874057	0.004103501603538158	15653621.955741577	25064431.06694908	0.00010716907402091852
125deg	4555291177.060682	608906074.3603543	0.004088200044365224	15282817.179031843	24511203.6979854	0.00010388632511083773
130deg	4537617830.487166	608138152.1654487	0.004085952459208115	14780699.653859837	23721747.575915538	0.00010049126587926645
135deg	4517919713.50893	609820616.2449132	0.004074395138281371	14353867.293419812	23081517.273266304	9.697923711866338e-05
140deg	4495910839.826991	610618836.7904437	0.004076625534475578	13388206.462739885	21567617.92344579	9.030665783499676e-05
145deg	4474713293.096051	606592333.8381382	0.004075874705184351	13233801.276726402	21314052.078912076	8.97647085132595e-05
150deg	4456705592.943305	602580122.8726077	0.004077081530044501	13266130.912869701	21358729.11260345	9.054074008759628e-05
155deg	4441226455.275338	600585671.7930692	0.0040573951686702445	13422414.924312698	21618828.46895876	9.139878219757396e-05
160deg	4429100479.159476	598719833.5630226	0.004021199837079792	12934303.745210357	20837243.865305215	8.750707105846106e-05
165deg	4423550542.345496	603250307.7640815	0.003987450251860604	13964844.323240915	22550910.83625263	9.293199196217589e-05
170deg	4423525909.916921	572428045.340265	0.004066913304570132	12904278.838471904	20572067.271544363	9.241792377246035e-05
175deg	4398710047.211144	619156790.6894318	0.0038664762218601533	14947914.903497087	24350806.31473518	9.371782276403617e-05
180deg	4379125042.525616	629522668.2289753	0.0038647670455742886	10604855.600694492	17378295.628384557	6.519100309574417e-05
