phi	x_0	gamma	I	sigma_x_0	sigma_gamma	sigma_I
185deg	4489666218.4213705	643852428.7180808	0.019251583392517445	17543938.122410476	28689582.33102667	0.0005293170480942052
190deg	4507560352.6170635	593592271.4030666	0.01987254457057034	17793040.02199566	28431247.650429457	0.0006022454398314429
195deg	4512120186.953944	619032236.1119943	0.019096469421248968	17404101.754328825	28109980.479343835	0.0005427126473639035
200deg	4516004596.204082	617590443.3340727	0.018562731288389325	16986595.38372459	27411503.391824797	0.0005161848503811514
205deg	4527350988.199394	618198044.8689386	0.017930413212416854	17073169.89011002	27539201.613437235	0.000500860744466319
210deg	4542605003.416294	617979748.1567781	0.017125452023134806	16247492.340349652	26181355.628071006	0.0004556444893380496
215deg	4561922436.426547	618616734.6720779	0.016075910981364645	16008818.8969981	25776873.06779978	0.0004212522265903821
220deg	4581297458.780052	618504627.1409152	0.014923728460605619	16128069.703065572	25942667.577912707	0.0003942498634183551
225deg	4603765204.599175	616801535.7850802	0.013675219832889314	16589636.36779924	26638473.41544886	0.0003728193324535407
230deg	4624002341.392391	613537994.536668	0.01237993485426505	16896478.68652145	27070741.47777942	0.0003456966003261391
235deg	4641074906.138025	610567783.4981498	0.011010266483218295	16718138.141015073	26734475.763520423	0.00030575105590792547
240deg	4658540461.877719	606624484.3529085	0.009572957101610342	17090380.425639786	27268476.928818867	0.0002735625487167276
245deg	4672161614.511661	599860468.9468657	0.008122830912728448	16904177.646346826	26882378.9255604	0.0002321843744298317
250deg	4685599055.459149	589990777.0333761	0.006620037827664395	16916702.036372088	26779661.67802114	0.00019251603641726566
255deg	4696383379.225592	582552462.7351042	0.005044208557293681	16816497.378719445	26531248.835111618	0.0001476640742519286
260deg	4703038700.081216	577003392.798965	0.0034056380803339343	16668169.01572376	26232648.423431333	9.97567822630945e-05
265deg	4708500375.831889	575415542.0916966	0.0017235686897849282	16854731.753444057	26506571.128860567	5.1191211148893405e-05
270deg	4690371767.926452	292605643.0503831	0.00015372986744076125	4514703.850898746	6507325.967449229	2.3806979311691115e-06
275deg	4709489054.357955	575359072.126272	0.0017247665753257813	16531353.755245656	25997081.698137105	5.0249004136514366e-05
280deg	4704564513.151707	577293835.3396462	0.0034054057900599084	16728595.861681076	26330456.603672314	0.00010006246546333368
285deg	4694606904.13133	582439329.3989953	0.005044782475280305	16710407.385437742	26363333.95769541	0.00014677617748244044
290deg	4685075359.281742	589904031.5805484	0.006615859977544503	17135883.372505262	27125887.589192998	0.0001949147491886749
295deg	4672131267.605202	599772322.9866338	0.00812239561609431	16914129.638463642	26897186.217269562	0.00023234228140171372
300deg	4658341541.939855	606812974.5176617	0.0095748767625429	16970113.29169646	27078975.96580201	0.0002716080240475163
305deg	4641717143.58336	611718390.3021111	0.011000355425597831	16905068.60245482	27046668.130234506	0.0003083177664444999
310deg	4623176607.37747	612642791.5514674	0.012393926920541313	16623331.756158136	26623318.046531416	0.0003409823808187123
315deg	4604288510.017058	615939996.761149	0.013682636812412564	16502878.331647158	26488433.8717856	0.0003715918175851697
320deg	4581319834.386214	618509483.4170713	0.014923734703568208	16127580.2829974	25941909.091758553	0.00039423520165798013
325deg	4561406173.517966	619178947.3876016	0.016062851856871396	16164186.30285201	26034235.863647077	0.00042460169623318735
330deg	4542970696.153328	618254651.0374538	0.017104124542324167	16618516.94786052	26781931.695321996	0.000465265836762267
335deg	4526969758.818761	617601573.2258354	0.017958343312877077	16706156.36101079	26940745.62921053	0.0004913292657559905
340deg	4516283908.601346	617727550.6780363	0.01856515577276166	16876351.38596812	27234756.445581395	0.0005127926179298361
345deg	4511810020.9745245	618908507.8248138	0.01909159860549093	17485842.368414085	28241032.868689097	0.0005452255542361563
350deg	4507503782.784823	593734356.1803763	0.01987425322597452	17918125.224462014	28632975.90992306	0.0006063838872500998
355deg	4490187187.386388	644818982.6295455	0.019213103926028607	17943144.00660201	29353998.550361257	0.0005394655734618581
360deg	4469982209.14564	659522932.4582523	0.01928677961681937	14880599.824786372	24534888.45805821	0.00043822720820544856
